Date,Open,High,Low,Close,Adj Close,Volume,SMA20,2xstd,ld,hd,std,psd,nsd
2020-01-02,4.1,4.1,3.61,3.72,3.72,103740100,,,,,,,
2020-01-03,3.5,3.9,3.48,3.83,3.83,82892400,,,,,,,
2020-01-06,4.19,4.24,3.66,3.68,3.68,106619700,,,,,,,
2020-01-07,3.7,3.73,3.21,3.24,3.24,106336400,,,,,,,
2020-01-08,3.14,3.49,3.13,3.39,3.39,65118100,,,,,,,
2020-01-09,3.44,3.58,3.33,3.46,3.46,54644200,,,,,,,
2020-01-10,3.49,3.58,3.4,3.51,3.51,35626700,,,,,,,
2020-01-13,3.71,3.73,3.52,3.7,3.7,59752700,,,,,,,
2020-01-14,3.7,3.82,3.61,3.76,3.76,55194000,,,,,,,
2020-01-15,4.19,4.48,4.0,4.29,4.29,236357900,,,,,,,
2020-01-16,3.99,4.4,3.91,4.37,4.37,97941700,,,,,,,
2020-01-17,4.51,4.71,4.46,4.67,4.67,109601300,,,,,,,
2020-01-21,4.6,5.29,4.52,5.17,5.17,181423600,,,,,,,
2020-01-22,5.42,5.65,4.69,4.79,4.79,207132700,,,,,,,
2020-01-23,4.57,4.95,4.31,4.92,4.92,102535300,,,,,,,
2020-01-24,5.0,5.06,4.51,4.66,4.66,65538000,,,,,,,
2020-01-27,3.99,4.35,3.84,4.01,4.01,102028700,,,,,,,
2020-01-28,4.25,4.27,4.03,4.21,4.21,48979100,,,,,,,
2020-01-29,4.23,4.33,4.02,4.27,4.27,53844300,,,,,,,
2020-01-30,4.24,4.38,4.01,4.08,4.08,75009800,,,,,,,
2020-01-31,4.02,4.04,3.67,3.78,3.78,77923200,4.086499999999999,1.073075486627106,3.013424513372893,5.159575486627105,0.536537743313553,4.623037743313552,3.549962256686446
2020-02-03,3.54,4.11,3.52,4.06,4.06,73783600,4.089499999999999,1.0692890161223954,3.020210983877604,5.158789016122395,0.5346445080611977,4.624144508061197,3.5548554919388016
2020-02-04,4.29,4.7,4.16,4.51,4.51,123640400,4.101,1.0628057207222776,3.0381942792777226,5.163805720722277,0.5314028603611388,4.632402860361139,3.5695971396388613
2020-02-05,4.37,4.48,4.13,4.39,4.39,73632500,4.1425,1.0586193839147289,3.0838806160852714,5.201119383914729,0.5293096919573644,4.671809691957365,3.6131903080426357
2020-02-06,4.2,4.33,4.05,4.08,4.08,75641200,4.2,0.9781615408509988,3.2218384591490015,5.178161540850999,0.4890807704254994,4.6890807704255,3.710919229574501
2020-02-07,4.02,4.02,3.74,3.81,3.81,80780700,4.2345,0.9075786467298578,3.326921353270142,5.142078646729858,0.4537893233649289,4.688289323364929,3.7807106766350707
